sdss designation,redshift,angular sep,proper sep,sdss r band
J091651.38+494542.5,0.0281,85.7,49.1,16.16
J091733.24+475725.1,0.1195,27.1,58.5,17.23
J091733.27+475658.1,0.1199,27.1,58.5,17.19
J091835.37+110924.9,0.1041,10.9,20.9,17.07
J091835.99+110919.0,0.1042,10.9,20.9,17.3
J091839.33+453020.3,0.1948,5.8,18.9,18.28
J091839.65+453023.6,0.1947,5.8,18.9,14.7
J091857.92+315110.8,0.061,37.3,43.8,15.59
J091859.40+315140.7,0.0619,37.3,43.8,14.64
J091957.09+264723.7,0.0261,149.4,79.2,14.94
J091957.97+264454.9,0.0264,149.4,79.2,14.07
J092040.66+150603.6,0.0288,123.4,71.3,14.13
J092047.82+150704.6,0.028,123.4,71.3,14.55
J092118.78+181249.0,0.029,74.5,42.9,14.08
J092123.09+181326.0,0.0287,74.5,42.9,14.27
J092159.80+060053.6,0.0546,73.4,78.0,14.85
J092202.51+055952.4,0.0549,73.4,78.0,15.23
J092205.96+211111.8,0.0776,2.6,3.9,16.81
J092205.98+211114.4,0.0776,2.6,3.9,17.66
J092329.60+242845.9,0.0345,124.7,85.6,14.91
J092331.51+242644.5,0.0345,124.7,85.6,13.71
J092435.13+305252.4,0.2091,23.7,81.1,16.99
J092436.27+305235.8,0.2102,23.7,81.1,17.45
J092446.67+322547.4,0.1158,21.9,46.0,17.4
J092447.18+322526.8,0.1148,21.9,46.0,17.87
J092452.72+382106.4,0.0277,134.5,74.9,13.5
J092458.83+022519.7,0.0716,47.1,64.3,16.88
J092501.12+022447.5,0.0716,47.1,64.3,17.56
J092501.49+382038.5,0.027,134.5,74.9,14.62
J092752.50+262322.2,0.0443,38.9,33.9,16.56
J092752.70+262401.0,0.0436,38.9,33.9,16.94
J092806.24+262259.3,0.0434,106.6,92.0,14.42
J092811.00+262140.1,0.0438,106.6,92.0,16.5
J092834.69+362829.4,0.0865,38.0,60.9,16.79
J092836.96+362846.3,0.0855,38.0,60.9,15.56
J092903.50+610701.0,0.0752,11.3,16.1,17.25
J092904.24+610659.0,0.0753,11.3,16.1,17.61
J092954.27+002753.1,0.1457,20.0,51.0,16.39
J092955.43+002802.9,0.1456,20.0,51.0,17.28
J093003.56+341325.3,0.0421,113.1,93.9,14.38
J093011.07+341336.1,0.0422,113.1,93.9,15.96
J093128.29+094821.3,0.0756,21.6,31.0,17.08
J093128.96+094802.3,0.0755,21.6,31.0,16.7
J093231.97+094957.4,0.0498,74.9,71.8,15.44
J093236.58+095026.0,0.0489,74.9,71.8,14.8
J093325.71+340253.1,0.0272,143.7,78.6,13.64
J093334.42+340153.4,0.0287,143.7,78.6,16.32
J093422.37+291345.6,0.1285,7.8,17.8,16.45
J093422.86+291342.7,0.1277,7.8,17.8,17.36
J093427.93+164352.8,0.0738,63.4,88.9,15.95
J093432.11+164402.3,0.0733,63.4,88.9,15.15
J093444.60+094213.9,0.1208,24.6,53.4,16.66
J093446.16+094206.2,0.1219,24.6,53.4,16.87
J093515.24+243515.1,0.0614,63.7,75.4,14.57
J093517.72+243606.8,0.0613,63.7,75.4,16.98
J093621.39+185135.1,0.0715,30.0,40.8,17.77
J093622.61+283100.7,0.0274,123.2,67.9,16.11
J093623.36+185130.2,0.0714,30.0,40.8,17.47
J093623.40+592457.0,0.0962,29.8,53.1,17.67
J093625.37+592452.7,0.0956,29.8,53.1,17.04
J093630.16+283012.1,0.0276,123.2,67.9,14.25
J093650.00+114503.7,0.0287,133.4,76.9,15.21
J093653.46+114300.7,0.0287,133.4,76.9,15.81
J094207.72+022805.2,0.0482,20.8,20.1,15.34
J094209.01+022812.7,0.0493,20.8,20.1,16.02
J094209.84+382945.1,0.0407,107.0,87.4,15.39
J094214.38+383107.7,0.0413,107.0,87.4,16.32
J094215.99+541910.4,0.0467,24.2,22.2,16.06
J094217.60+541909.7,0.0468,24.2,22.2,16.56
J094408.42+330458.5,0.0835,52.5,82.3,15.59
J094410.98+330422.7,0.0829,52.5,82.3,14.7
J094414.59+001132.3,0.1262,35.9,81.2,17.06
J094415.78+001101.2,0.127,35.9,81.2,14.7
J094446.69+145321.8,0.0264,43.4,23.0,14.67
J094446.91+543845.8,0.0458,109.4,98.5,15.25
J094448.24+145245.2,0.0262,43.4,23.0,14.58
J094454.01+543821.0,0.0441,109.4,98.5,14.51
J094506.95+271606.9,0.0329,105.8,69.4,14.55
J094512.77+271507.2,0.0335,105.8,69.4,14.44
J094516.75+562219.6,0.171,21.2,62.0,17.52
J094517.79+562234.0,0.1718,21.2,62.0,17.1
J094529.71-002206.2,0.0529,70.6,72.7,16.02
J094531.52-002311.3,0.0526,70.6,72.7,17.22
J094554.41+423840.0,0.0745,21.3,30.3,14.7
J094554.49+423818.7,0.0748,21.3,30.3,16.61
J094627.10+000827.3,0.0914,17.6,30.0,17.86
J094628.02+000816.3,0.0916,17.6,30.0,17.32
J094706.88+185411.6,0.0263,147.1,77.8,14.94
J094708.46+524041.8,0.0477,103.7,97.3,16.1
J094711.21+524216.9,0.0479,103.7,97.3,14.31
J094714.45+185238.2,0.0267,147.1,77.8,14.98
J094721.45+322039.9,0.1373,23.8,57.7,16.98
J094722.99+322045.4,0.1373,23.8,57.7,17.08
J094740.50+213815.2,0.0248,125.0,62.5,15.26
J094741.58+633941.4,0.1397,2.1,5.2,19.79
J094741.58+633939.2,0.139,2.1,5.2,16.86
J094744.27+214006.6,0.0248,125.0,62.5,14.34
J094757.68+022025.8,0.0584,32.5,36.7,16.14
J094759.81+022032.2,0.0579,32.5,36.7,16.48
J094801.53+345222.8,0.041,6.8,5.5,16.95
J094801.92+345226.3,0.0407,6.8,5.5,16.73
J094804.00+201808.4,0.0404,81.0,63.6,14.75
J094809.15+201832.8,0.0396,81.0,63.6,14.89
J094833.44+472203.5,0.0326,151.8,98.0,14.83
J094842.05+472043.8,0.0323,151.8,98.0,14.72
J094846.42+045621.5,0.0905,15.3,25.8,15.74
J094847.28+045629.8,0.0919,15.3,25.8,16.65
J094913.52+011039.9,0.025,182.9,92.1,15.54
J094922.92+010843.4,0.0252,182.9,92.1,13.58
J094924.78+575645.1,0.1082,20.4,40.2,17.13
J094925.57+575701.7,0.108,20.4,40.2,17.72
J095053.37+343113.7,0.0523,17.4,17.8,15.58
J095054.39+343105.3,0.0529,17.4,17.8,14.7
J095211.20+011044.2,0.0612,43.2,50.9,15.77
J095212.37+011004.7,0.0617,43.2,50.9,15.48
J095340.28+324323.9,0.0785,8.4,12.5,17.69
J095340.75+324328.4,0.0788,8.4,12.5,16.07
J095424.61+335423.1,0.0864,40.7,65.8,16.57
J095426.34+335351.7,0.0863,40.7,65.8,17.59
J095432.76+563324.6,0.0731,18.8,26.4,17.0
J095434.01+563326.4,0.0739,18.8,26.4,16.14
J095434.32+023533.7,0.0709,69.5,94.0,17.68
J095437.38+023441.4,0.0707,69.5,94.0,17.41
J095502.11+162141.2,0.0753,64.2,92.1,16.51
J095506.38+162145.9,0.0756,64.2,92.1,16.23
J095537.43+331816.3,0.0978,35.5,64.1,16.83
J095538.29+331743.3,0.0972,35.5,64.1,17.58
J095544.17+252223.4,0.0752,39.9,56.9,16.74
J095545.73+252255.7,0.0758,39.9,56.9,15.83
J095600.71+130806.8,0.07,56.7,75.8,15.55
J095604.16+130743.7,0.0701,56.7,75.8,17.57
J095616.64+373849.5,0.0224,205.6,93.1,14.35
J095617.31+373524.1,0.023,205.6,93.1,14.23
J095652.36+152313.1,0.0777,59.5,87.4,16.58
J095655.94+152247.4,0.0777,59.5,87.4,16.72
J095658.66+034640.6,0.0345,126.5,85.6,14.07
J095659.05+034847.0,0.034,126.5,85.6,14.38
J095737.39+165818.4,0.0685,17.0,22.2,15.73
J095737.99+165804.0,0.0692,17.0,22.2,17.5
J095749.26+304915.8,0.1368,30.0,72.6,17.14
J095750.50+304939.3,0.1361,30.0,72.6,17.23
J095850.26+011003.1,0.0564,30.7,33.7,15.5
J095851.83+010943.6,0.0567,30.7,33.7,15.89
J095859.91+130308.4,0.0358,69.5,49.2,14.7
J095900.23+174901.7,0.0254,74.4,39.5,13.75
J095900.42+130241.6,0.0351,47.6,33.7,14.7
J095903.29+130221.0,0.0356,47.6,33.7,15.16
J095905.08+174917.2,0.0264,74.4,39.5,14.28
J095906.68+130135.4,0.0366,68.3,48.4,15.38
J095908.96+130352.5,0.0339,124.9,88.5,14.94
J095925.84+011157.0,0.0983,35.4,64.3,16.38
J095928.02+011143.6,0.0983,35.4,64.3,17.75
J095937.31+241611.9,0.1279,17.2,39.3,16.49
J095938.23+241601.6,0.1282,17.2,39.3,16.92
J095942.61+261914.2,0.0512,87.9,87.8,15.78
J095947.21+261711.4,0.0515,95.5,96.0,15.72
J095948.15+261845.8,0.0514,87.9,87.8,15.91
J095958.23+030232.9,0.0907,13.5,22.8,16.51
J095958.89+030223.8,0.0906,13.5,22.8,16.89
J100118.00+042802.5,0.0814,55.7,85.4,15.64
J100119.91+042850.2,0.0828,55.7,85.4,16.42
J100133.68+033731.2,0.0437,53.8,45.3,15.58
J100135.81+033647.8,0.0427,53.8,45.3,14.68
J100140.47+095431.6,0.0564,90.8,99.9,16.22
J100142.28+095558.1,0.0568,90.8,99.9,15.13
J100210.20+111838.6,0.1369,25.5,61.7,16.65
J100211.80+111847.2,0.1366,25.5,61.7,17.26
J100212.89+111915.2,0.0552,10.3,11.1,18.81
J100213.52+111911.0,0.055,10.3,11.1,14.81
J100217.37+102529.0,0.0599,70.1,81.5,16.14
J100219.98+102627.1,0.0601,70.1,81.5,15.49
J100230.89+324252.4,0.049,89.3,88.1,14.82
J100236.54+324224.3,0.0505,89.3,88.1,13.86
J100259.39+300452.6,0.0808,61.0,92.9,16.72
J100303.43+300459.4,0.081,61.0,92.9,16.44
J100316.98+183416.1,0.079,21.1,31.5,17.39
J100318.36+183420.3,0.0781,21.1,31.5,16.07
J100404.51+500807.0,0.0668,59.9,76.7,16.74
J100408.18+500830.7,0.0667,59.9,76.7,15.58
J100447.68+464309.7,0.0242,124.1,60.5,14.03
J100451.72+543530.5,0.0463,86.2,79.5,17.42
J100451.83+543404.4,0.047,86.2,79.5,13.98
J100452.02+464124.1,0.0237,124.1,60.5,14.69
J100602.14+071131.0,0.1218,5.7,12.3,18.62
J100602.51+071131.8,0.1205,5.7,12.3,15.77
J100631.09+231523.2,0.0416,71.7,58.8,16.7
J100633.44+231420.8,0.0418,71.7,58.8,14.7
J100720.39+562003.8,0.1304,2.6,6.0,18.06
J100720.56+562002.9,0.13,2.6,6.0,16.52
J100722.96+230234.1,0.0413,86.2,71.0,16.16
J100725.21+230114.8,0.0417,86.2,71.0,16.6
J100732.36+230131.7,0.0417,108.5,89.4,15.26
J100749.77+005252.6,0.1215,26.9,58.9,17.14
J100751.33+005305.9,0.1221,26.9,58.9,17.04
J100753.05+395031.9,0.064,72.2,88.8,16.49
J100755.07+394926.4,0.0633,72.2,88.8,17.27
J100823.97+375039.2,0.0531,67.5,70.9,16.72
J100827.34+202207.2,0.1484,5.0,12.9,17.38
J100827.65+202209.3,0.1479,5.0,12.9,17.43
J100828.06+375011.1,0.054,67.5,70.9,16.12
J100857.82+074910.3,0.0629,39.7,48.4,16.28
J100859.74+074842.9,0.0633,39.7,48.4,16.03
J100941.74+193414.0,0.052,40.4,40.6,16.18
J100944.43+193411.7,0.0516,40.4,40.6,15.81
J101007.43+424838.0,0.0738,57.5,80.1,15.45
J101007.96+424741.0,0.0732,57.5,80.1,16.31
J101010.33+543314.0,0.0457,108.5,97.5,14.86
J101017.48+543330.2,0.0464,108.5,97.5,15.48
J101055.90+215611.1,0.1131,24.7,50.6,14.7
J101057.10+215554.2,0.1128,24.7,50.6,17.69
J101206.17+472707.2,0.1243,28.2,62.9,17.55
J101207.97+472715.5,0.1245,28.2,62.9,15.98
J101313.08+200855.8,0.0288,50.4,28.9,17.47
J101313.19+200946.2,0.0286,50.4,28.9,15.53
J101314.87+375040.6,0.1075,44.5,87.4,16.69
J101317.79+375032.9,0.1074,44.5,87.4,16.93
J101359.19+383925.9,0.021,232.0,96.4,13.82
J101414.66+383927.3,0.0205,232.0,96.4,16.63
J101434.28+263236.0,0.08,13.7,20.8,16.55
J101434.38+263249.7,0.0809,13.7,20.8,17.3
J101545.59+143634.5,0.0533,84.1,86.5,14.7
J101547.49+205832.2,0.038,21.9,16.5,16.07
J101547.55+143753.2,0.0528,84.1,86.5,15.36
J101547.79+205810.7,0.0382,21.9,16.5,16.39
J101709.66+293731.8,0.0782,67.6,99.7,17.54
J101712.76+293821.0,0.0779,67.6,99.7,16.18
J101740.68+204744.2,0.1089,12.8,25.3,17.15
J101741.20+204734.1,0.1086,12.8,25.3,17.62
J101831.15+512744.2,0.0749,69.8,96.8,16.47
J101835.77+512753.1,0.0729,69.8,96.8,16.78
J101839.74+104714.8,0.0508,29.2,29.0,16.6
J101839.88+104645.6,0.0513,29.2,29.0,14.69
J101913.20+483241.2,0.0628,29.5,35.7,15.04
J101913.64+483212.4,0.0617,29.5,35.7,16.84
J101920.83+490701.2,0.054,4.6,4.9,17.08
J101921.10+490703.2,0.0543,4.6,4.9,14.16
J101930.26+024808.5,0.0462,82.0,74.4,16.47
J101933.76+024705.4,0.0468,82.0,74.4,16.59
J101942.23+372752.7,0.0929,35.9,62.0,17.48
J101942.54+372828.3,0.0939,35.9,62.0,16.51
J101945.78+635758.3,0.0418,118.1,97.4,16.18
J101952.82+635705.4,0.0411,118.1,97.4,13.88
J102001.97+072725.7,0.1578,25.9,70.4,17.34
J102002.48+072700.9,0.1568,25.9,70.4,17.2
J102049.97+425819.4,0.0233,165.7,77.9,12.98
J102055.69+341657.4,0.1254,8.8,19.8,16.65
J102056.11+341651.2,0.1259,8.8,19.8,17.83
J102100.55+425907.1,0.0232,165.7,77.9,13.36
J102106.55+163958.7,0.1231,10.8,23.9,16.74
J102106.89+163949.2,0.123,10.8,23.9,17.79
J102110.09+393158.4,0.1187,23.4,50.2,17.48
J102110.41+393221.3,0.1191,23.4,50.2,17.38
J102112.82+222415.6,0.1138,36.5,76.3,16.38
J102113.00+222451.9,0.1155,36.5,76.3,17.2
J102136.33+060133.4,0.0324,64.9,42.0,14.11
J102138.19+060231.9,0.033,64.9,42.0,16.62
J102141.89+130550.4,0.0765,67.1,97.2,17.61
J102142.79+130656.1,0.0763,67.1,97.2,17.1
J102207.11+175017.2,0.0274,103.1,56.7,14.67
J102212.61+175134.8,0.0263,113.2,62.3,14.67
J102212.87+175113.6,0.0286,103.1,56.7,14.86
J102219.39+363458.9,0.0259,187.4,98.4,13.62
J102223.90+154443.1,0.045,76.1,66.5,14.81
J102228.54+154514.0,0.0444,76.1,66.5,14.49
J102228.76+154339.0,0.0456,95.1,83.1,15.92
J102230.14+145600.2,0.0407,108.7,87.4,15.51
J102231.84+363514.2,0.0261,187.4,98.4,16.01
J102237.03+145633.3,0.0408,108.7,87.4,15.47
J102245.52+194717.6,0.039,30.7,23.7,14.59
J102247.38+194730.2,0.0392,30.7,23.7,14.99
J102407.34+133703.9,0.0234,162.7,76.8,14.08
J102408.69+133422.5,0.023,162.7,76.8,13.91
J102409.47+014636.3,0.1273,19.1,43.4,17.1
J102410.58+014645.7,0.128,19.1,43.4,17.1
J102411.98+025234.2,0.0595,54.2,62.5,17.5
J102415.08+025327.5,0.0585,46.4,53.5,16.55
J102415.56+025241.6,0.0596,46.4,53.5,16.41
J102421.02+120248.2,0.0533,82.9,87.4,14.97
J102426.06+120214.1,0.0541,82.9,87.4,15.98
J102441.74+373339.8,0.0983,37.2,67.6,15.54
J102442.38+373415.7,0.0985,37.2,67.6,14.7
J102451.88+093411.1,0.0457,90.3,81.0,15.28
J102452.54+093540.9,0.046,90.3,81.0,14.27
J102500.92+171731.6,0.0442,105.1,95.0,14.33
J102505.52+171612.3,0.046,105.1,95.0,15.53
J102535.58+391051.7,0.0602,80.7,96.3,16.12
J102540.95+391046.3,0.0619,80.7,96.3,15.04
J102546.26+134300.7,0.0321,53.2,33.8,13.79
J102547.75+134456.9,0.0316,77.3,49.1,15.23
J102548.60+134340.6,0.0318,53.2,33.8,14.21
J102555.64+115043.0,0.103,38.7,73.3,16.7
J102555.73+115121.7,0.1042,38.7,73.3,17.14
J102600.53+052903.5,0.0454,67.7,60.4,14.14
J102604.10+052822.1,0.0454,67.7,60.4,15.66
J102622.25+185513.7,0.1191,3.5,7.6,17.01
J102622.28+185510.2,0.1176,3.5,7.6,17.09
J102700.40+174901.0,0.0665,2.4,3.0,15.2
J102700.56+174900.3,0.0666,2.4,3.0,17.95
J102705.86+110317.5,0.0323,128.1,82.6,14.23
J102714.26+110340.0,0.0329,128.1,82.6,15.54
J102835.09+331102.0,0.1199,15.5,33.5,17.58
J102836.10+331058.8,0.1206,15.5,33.5,17.18
J102843.02+183253.0,0.0801,58.2,88.1,17.4
J102844.29+183348.0,0.0807,58.2,88.1,16.72
J102845.66+213149.8,0.1175,8.9,18.8,16.71
J102846.03+213156.7,0.1164,8.9,18.8,16.45
J102942.52+025347.2,0.0877,25.6,41.9,17.01
J102943.60+025327.4,0.0877,25.6,41.9,16.79
J102950.48+043657.9,0.085,59.0,94.2,16.61
J102953.13+043614.3,0.0852,59.0,94.2,16.8
J103013.91+211311.7,0.0427,95.0,80.0,15.52
J103020.24+211316.0,0.0423,95.0,80.0,13.99
J103129.98+245210.0,0.0208,172.5,72.5,13.11
J103140.05+245046.6,0.0208,172.5,72.5,15.78
J103223.49+164631.8,0.0639,59.0,72.4,17.49
J103225.27+164724.4,0.064,59.0,72.4,16.19
J103329.73+440434.2,0.052,31.3,31.7,14.67
J103331.63+440421.3,0.0519,31.3,31.7,15.18
J103333.43+115217.0,0.0341,129.5,86.4,14.7
J103334.63+115425.2,0.0335,129.5,86.4,14.85
J103353.63+235156.3,0.0452,82.4,74.6,16.61
J103358.49+235234.9,0.0461,82.4,74.6,15.86
J103626.49+444349.7,0.0919,18.0,30.8,16.28
J103626.56+444407.6,0.0902,18.0,30.8,16.67
J103633.94+152831.8,0.0505,76.7,75.6,16.49
J103636.72+152936.1,0.052,76.7,75.6,16.5
J103647.29+391534.3,0.1173,39.1,82.7,17.05
J103649.74+391521.0,0.117,39.1,82.7,16.73
J103721.87+021913.3,0.0414,38.3,31.4,15.94
J103723.63+021845.5,0.0402,38.3,31.4,15.14
J103725.71+020443.1,0.0735,48.6,67.9,16.57
J103727.65+020521.9,0.0729,48.6,67.9,15.52
J103742.56+070515.0,0.0712,4.8,6.6,16.32
J103742.85+070517.2,0.072,4.8,6.6,16.54
J103751.88+400544.4,0.0924,38.4,66.0,15.27
J103753.63+400612.4,0.0945,38.4,66.0,16.27
J103828.65+093627.0,0.0684,60.7,79.4,16.9
J103830.99+093716.6,0.0687,60.7,79.4,15.91
J103847.45+120838.5,0.0332,67.6,44.9,14.67
J103849.79+120740.6,0.0336,67.6,44.9,14.45
J103853.29+392151.2,0.0548,40.4,42.9,14.7
J103853.77+224908.7,0.0559,58.6,63.6,16.11
J103854.48+245235.9,0.0927,57.7,99.3,16.56
J103855.95+392157.6,0.0546,40.4,42.9,16.43
J103856.00+224820.6,0.0556,58.6,63.6,16.03
J103857.24+245316.3,0.0924,57.7,99.3,16.67
J104024.66+065137.7,0.0303,113.3,68.8,14.81
J104031.84+065213.1,0.0304,113.3,68.8,14.78
J104039.65+390356.1,0.0301,78.3,47.2,15.05
J104044.43+390427.5,0.03,78.3,47.2,14.24
J104103.99+150451.2,0.084,57.3,90.5,17.04
J104104.76+150355.0,0.0841,57.3,90.5,15.95
J104128.63+371545.8,0.0233,184.5,89.4,16.03
J104131.19+371846.3,0.024,184.5,89.4,12.81
J104150.01+343755.7,0.0578,31.7,35.5,16.53
J104150.74+384300.5,0.0359,92.1,65.8,13.38
J104151.34+343820.3,0.058,31.7,35.5,14.7
J104156.80+384315.4,0.0373,92.1,65.8,14.99
J104215.76+035823.4,0.0986,10.0,18.2,16.74
J104216.26+035816.8,0.0988,10.0,18.2,17.36
J104229.80+050500.2,0.0281,142.3,80.3,16.06
J104230.69+154535.9,0.0504,94.3,90.0,15.09
J104232.05+050241.9,0.0272,142.3,80.3,17.67
J104236.43+154457.3,0.0488,94.3,90.0,14.19
J104308.27+272057.6,0.1015,37.1,69.3,17.6
J104310.65+272108.1,0.1014,37.1,69.3,16.71
J104320.57+404710.8,0.0287,85.4,51.8,15.17
J104325.46+404627.1,0.0303,85.4,51.8,13.38
J104334.99+554717.5,0.0265,173.8,92.6,14.45
J104341.65+554939.7,0.0258,173.8,92.6,16.03
J104359.22-003517.7,0.0607,75.2,88.1,15.49
J104404.21-003509.3,0.0603,75.2,88.1,17.6
J104458.83+370816.8,0.0233,187.0,87.8,14.04
J104505.04+371059.0,0.0239,187.0,87.8,14.7
J104546.94+371240.7,0.024,146.7,70.9,13.26
J104554.25+371103.4,0.0235,146.7,70.9,14.7
J104620.19+492648.6,0.1299,37.3,86.4,17.54
J104622.62+492656.7,0.1296,37.3,86.4,17.31
J104726.01+385925.9,0.0364,91.6,66.1,15.74
J104731.29+390011.7,0.0364,91.6,66.1,14.51
J104827.76+375128.1,0.0377,56.9,42.6,14.66
J104829.90+375215.0,0.0385,56.9,42.6,15.21
J104830.91+333210.2,0.0718,59.4,81.4,15.7
J104831.36+333309.3,0.0716,59.4,81.4,16.97
J104855.11+404332.6,0.0859,23.9,38.2,16.01
J104856.70+404334.0,0.0852,23.9,38.2,18.04
J104918.70+171113.8,0.0565,68.1,74.6,14.84
J104922.76+171143.9,0.0573,68.1,74.6,17.41
J104956.72+232752.3,0.065,60.7,75.8,16.84
J104957.14+232651.9,0.0661,60.7,75.8,16.66
J105031.38+004538.2,0.0964,33.4,59.6,16.03
J105032.77+004512.1,0.0964,33.4,59.6,15.77
J105129.86+132149.1,0.0556,4.5,4.8,17.07
J105129.90+132153.5,0.0554,4.5,4.8,15.7
J105226.06+102718.3,0.0206,129.3,57.3,14.7
J105228.93+102920.2,0.0219,129.3,57.3,15.53
J105509.42+293001.5,0.0714,66.6,90.7,16.1
J105513.11+292924.5,0.0714,66.6,90.7,16.15
J105609.41+465341.7,0.0291,62.2,35.7,18.86
J105611.76+465250.5,0.0286,62.2,35.7,14.11
J105615.48+094516.0,0.033,19.7,13.1,13.54
J105616.80+094516.8,0.0332,19.7,13.1,15.82
J105618.05+465155.4,0.0285,109.3,62.6,14.94
J105653.38+331945.7,0.0511,67.7,67.8,16.25
J105656.31+331854.2,0.0513,67.7,67.8,15.93
J105710.28+265726.1,0.1183,4.8,10.3,18.17
J105710.35+265730.8,0.1175,4.8,10.3,16.97
J105730.48+404616.2,0.0569,8.4,9.4,17.4
J105731.02+404614.1,0.0577,8.4,9.4,15.67
J105734.33+430303.8,0.0779,45.9,67.7,17.48
J105735.61+430222.2,0.0779,45.9,67.7,17.66
J105744.78+265727.4,0.1182,6.3,13.5,16.43
J105745.20+265728.0,0.1175,6.3,13.5,17.64
J105753.36+373053.0,0.0339,98.3,66.4,14.51
J105753.96+373230.9,0.0356,98.3,66.4,14.32
J105801.61+194414.0,0.0774,64.4,94.3,16.4
J105802.94+194515.2,0.0778,64.4,94.3,16.23
J105808.76+170544.5,0.0302,156.2,94.5,13.85
J105809.86+170819.9,0.03,156.2,94.5,17.12
J105842.44+314457.6,0.0728,2.9,4.1,17.27
J105842.58+314459.8,0.0723,2.9,4.1,15.79
J105931.42+295214.7,0.0546,89.4,94.9,14.92
J105931.85+295045.6,0.0547,89.4,94.9,16.9
J110007.84+101522.6,0.0335,56.4,37.9,15.36
J110009.54+101612.9,0.0337,56.4,37.9,16.43
J110053.80+442653.8,0.0807,31.1,47.3,16.75
J110054.35+574632.7,0.0482,97.3,91.2,15.56
J110054.99+442628.3,0.0806,31.1,47.3,16.57
J110100.51+574703.0,0.0478,97.3,91.2,14.24
J110118.16+091712.0,0.0362,96.9,70.5,14.75
J110122.09+091829.0,0.0366,96.9,70.5,16.11
J110237.76+590730.9,0.0331,112.2,74.1,13.53
J110244.51+590642.6,0.0322,112.2,74.1,17.53
J110313.97+074152.0,0.0593,40.4,44.8,17.64
J110316.39+074209.9,0.0571,40.4,44.8,15.52
J110334.68+181749.4,0.0519,80.0,81.0,15.39
J110338.67+181656.3,0.0511,80.0,81.0,15.4
J110427.93+351520.5,0.0736,63.6,88.9,14.7
J110429.90+351424.2,0.0734,63.6,88.9,16.69
J110441.92+041750.4,0.0251,53.6,27.2,13.66
J110445.47+041755.2,0.0252,53.6,27.2,14.59
J110449.56+041636.0,0.0249,100.2,50.9,15.95
J110500.32+042529.8,0.0612,69.3,81.8,16.26
J110501.56+244846.8,0.0432,91.4,77.8,14.43
J110504.36+042603.6,0.0609,69.3,81.8,16.15
J110506.33+244749.9,0.0436,91.4,77.8,15.6
J110517.99+005328.3,0.0977,41.6,74.1,14.7
J110520.67+005317.1,0.096,24.2,43.1,15.84
J110521.51+005256.5,0.0945,24.2,43.1,16.42
J110612.15+061333.5,0.0986,14.1,25.6,17.79
J110612.16+061347.6,0.0979,14.1,25.6,14.7
J110631.47+330759.1,0.0828,63.1,98.3,17.33
J110631.59+330656.0,0.0822,63.1,98.3,17.7
J110639.11+433621.0,0.1247,6.8,15.1,17.25
J110639.57+433620.7,0.1243,6.8,15.1,16.36
J110640.13+474916.8,0.0653,70.1,87.8,16.24
J110641.08+474808.2,0.0652,70.1,87.8,16.9
J110651.16+141212.5,0.0451,111.2,94.5,14.12
J110652.56+141401.7,0.0431,111.2,94.5,15.29
J110719.12+311218.4,0.1088,46.7,92.8,16.47
J110719.72+025820.5,0.075,60.2,85.0,15.16
J110719.87+025926.0,0.0761,65.6,94.6,16.32
J110721.80+311242.1,0.1104,46.7,92.8,16.49
J110723.69+025829.3,0.0743,60.2,85.0,16.99
J110753.17+572025.4,0.0464,62.6,57.3,15.19
J110756.25+571942.9,0.0466,62.6,57.3,15.62
J110759.91+555250.8,0.0505,40.3,39.9,14.39
J110800.81+555212.8,0.0508,40.3,39.9,17.15
J110806.12+435740.9,0.0585,59.4,69.3,16.8
J110808.34+202632.8,0.067,57.2,73.4,15.99
J110809.48+435812.4,0.0604,59.4,69.3,16.66
J110809.70+202726.2,0.0676,57.2,73.4,16.52
J110824.67+430144.0,0.0492,57.5,55.3,17.1
J110824.92+430046.7,0.0494,57.5,55.3,14.58
J110851.36+442557.8,0.0611,80.8,95.3,15.0
J110851.90+442718.2,0.0614,80.8,95.3,14.73
J110928.82+284309.7,0.0321,100.5,64.4,15.9
J110929.10+284129.2,0.0329,100.5,64.4,15.61
J110934.13+290241.8,0.1452,4.3,11.0,17.73
J110934.33+290245.0,0.1449,4.3,11.0,17.75
J111005.18+032833.7,0.04,6.7,5.3,17.6
J111005.60+032836.2,0.0396,6.7,5.3,14.89
J111007.99+032639.5,0.0407,121.7,96.4,15.29
J111038.35+000247.4,0.1245,25.0,56.1,17.06
J111038.95+000310.7,0.1252,25.0,56.1,16.6
J111055.85+291940.7,0.0293,67.3,39.3,15.87
J111059.84+292011.5,0.0292,67.3,39.3,14.58
J111133.78+325153.6,0.0602,65.5,76.2,15.36
J111138.13+325200.2,0.0604,65.5,76.2,17.1
J111148.39+322323.5,0.0447,80.1,71.4,15.29
J111148.62+322203.5,0.0453,80.1,71.4,15.56
J111203.14+273750.3,0.0326,136.5,88.8,14.93
J111212.13+273729.4,0.0339,136.5,88.8,14.22
J111236.94+120617.8,0.0463,72.1,65.6,15.09
J111237.43+120729.5,0.0469,72.1,65.6,15.16
J111248.70+215332.7,0.0293,156.5,92.2,14.7
J111258.30+215434.1,0.0294,156.5,92.2,15.86
J111324.63+400846.6,0.0753,32.1,45.8,17.07
J111326.34+400905.8,0.076,32.1,45.8,17.42
J111438.38+632154.2,0.0328,136.0,89.8,13.99
J111446.94+632109.8,0.0331,136.0,89.8,16.1
