sdss designation,redshift,angular sep,proper sep,sdss r band
J020120.43+004832.6,0.1373,11.6,28.2,19.5
J020320.97+004006.3,0.0759,1.5,2.1,15.75
J020321.03+004005.1,0.076,1.5,2.1,18.24
J020442.35-001749.4,0.1118,5.7,11.7,17.2
J020442.65-001746.0,0.1114,5.7,11.7,17.96
J020733.93+133350.4,0.1318,2.1,4.8,16.35
J020734.06+133351.0,0.1319,2.1,4.8,19.39
J020838.64+000742.1,0.067,3.7,4.8,19.4
J020838.89+000742.6,0.0672,3.7,4.8,15.01
J020918.15-005217.7,0.1198,13.9,30.1,17.72
J020918.86-005226.5,0.1202,13.9,30.1,17.26
J021242.19+002906.0,0.1491,2.5,6.4,17.22
J021242.27+002903.8,0.1502,2.5,6.4,17.48
J021510.90+005440.9,0.1219,24.7,54.1,19.09
J021511.69+005419.3,0.1219,24.7,54.1,17.04
J022245.48+010202.4,0.0996,28.3,52.0,16.35
J022245.84+010230.1,0.0999,28.3,52.0,16.49
J022301.55-081852.5,0.0546,78.6,83.4,15.42
J022304.33-081959.2,0.0547,78.6,83.4,15.94
J022531.29-082508.7,0.0549,87.0,92.4,15.6
J022536.71-082539.5,0.0546,87.0,92.4,17.11
J022554.47+011205.3,0.0741,66.4,93.5,16.42
J022557.12+011112.1,0.0729,66.4,93.5,15.47
J023148.26-010925.2,0.0538,72.9,76.8,14.88
J023149.26+011539.9,0.0221,138.1,61.5,14.12
J023150.81-010823.1,0.0541,72.9,76.8,16.72
J023157.77+011447.4,0.022,138.1,61.5,13.2
J023211.78+001326.6,0.054,71.2,74.9,16.06
J023211.84+001215.4,0.0556,71.2,74.9,15.98
J023324.60+001245.0,0.0538,40.4,42.3,16.73
J023327.26+001238.4,0.0541,40.4,42.3,14.5
J023411.42-002736.9,0.1115,39.8,80.7,17.15
J023414.08-002736.3,0.1115,39.8,80.7,17.37
J024035.65-083249.6,0.0375,1.7,1.3,14.3
J024037.96-083200.1,0.0387,60.5,45.0,13.82
J024531.46-011525.7,0.1144,14.2,29.7,18.71
J024532.13-011515.7,0.1153,14.2,29.7,17.12
J025014.56+000539.7,0.0282,35.4,20.0,15.66
J025016.86+000531.1,0.028,35.4,20.0,13.89
J025445.27+010259.5,0.1366,9.2,22.1,17.52
J025445.36+010308.5,0.1366,9.2,22.1,17.98
J025855.30-064327.9,0.0295,148.9,87.8,15.35
J025900.15-064537.8,0.0294,148.9,87.8,14.94
J030526.94+005145.0,0.1178,3.1,6.7,17.43
J030527.11+005147.0,0.1182,3.1,6.7,16.89
J031142.22+000853.4,0.0369,120.9,88.6,16.55
J031149.89+000930.4,0.0378,120.9,88.6,14.49
J031518.96-004038.1,0.1162,26.7,56.4,15.75
J031520.60-004048.6,0.1164,26.7,56.4,17.49
J031710.96+000634.3,0.1159,31.4,65.8,16.35
J031712.87+000647.0,0.1147,31.4,65.8,16.82
J031722.06+004801.8,0.1572,2.9,7.8,19.25
J031722.24+004800.9,0.1562,2.9,7.8,17.18
J031734.35-001551.5,0.1417,5.5,13.7,17.58
J031734.63-001548.0,0.1418,5.5,13.7,18.23
J031910.25+005852.6,0.0374,97.5,73.0,15.22
J031913.09+005724.9,0.0377,97.5,73.0,15.47
J032015.52+412355.1,0.0224,121.3,58.0,13.53
J032020.97+412225.5,0.0237,121.3,58.0,14.76
J032033.21-002024.0,0.0383,7.2,5.4,14.2
J032033.65-002021.2,0.0378,7.2,5.4,18.49
J032216.83+010338.5,0.2145,19.3,66.9,19.52
J032218.08+010334.1,0.2138,19.3,66.9,17.94
J032224.28+421721.7,0.051,77.3,77.0,15.63
J032227.88+421626.4,0.0516,77.3,77.0,15.97
J032259.32+002141.1,0.0521,93.0,94.4,16.9
J032305.28+002115.4,0.0523,93.0,94.4,14.88
J032345.63+000026.8,0.0361,83.8,60.2,15.14
J032346.35+000149.9,0.0357,83.8,60.2,14.49
J032512.84+003711.6,0.1502,22.8,59.7,17.04
J032513.30+003733.3,0.1483,22.8,59.7,17.92
J032658.52-010301.7,0.1346,37.4,89.2,18.15
J032700.94-010252.9,0.1344,37.4,89.2,17.62
J033006.28+003657.5,0.0497,33.2,32.2,15.62
J033007.12+003626.9,0.0499,33.2,32.2,17.92
J033213.21+001546.6,0.0861,3.5,5.7,16.79
J033213.36+001549.4,0.0867,3.5,5.7,18.22
J033406.11+010540.0,0.0478,73.8,69.0,19.56
J033410.54+010612.1,0.0477,73.8,69.0,15.56
J040342.50-055705.2,0.1335,40.3,95.5,17.27
J040345.17-055701.1,0.1334,40.3,95.5,17.11
J073140.36+392552.9,0.1107,43.2,87.2,17.34
J073142.37+392623.8,0.1103,43.2,87.2,17.11
J073346.19+423735.9,0.0871,26.4,43.0,16.27
J073347.59+423751.9,0.0872,26.4,43.0,17.23
