index,cntr_01,dist_x,pang_x,ra_01,dec_01,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m
1575,1576,0.36211,73.249766,201.10129167,13.687111111,J132424.33+134113.7,201.1013908,13.6871401,0.0757,0.0799,0.0084,14.925,0.033,32.8,2.688,14.609,0.055,19.9,1.012,11.166,0.112,9.7,0.9746,8.921,0.376,2.9,1.106,1,0,0.0,0.0,0.0,0.0,-312,134,312,144,0000,0,00nn,AABC,0011,34,34,32,34,8,21,0,21
1576,1577,0.044525,137.90713,201.11679167,13.696277778,J132428.03+134146.5,201.1168002,13.6962686,0.0484,0.0487,-0.0059,13.664,0.025,44.1,1.452,13.464,0.03,35.7,0.9673,10.278,0.059,18.3,0.9109,8.522,0.284,3.8,1.038,1,0,0.0,0.0,0.0,0.0,27,59,-6,62,0000,0,000n,AAAB,0011,37,37,37,37,21,21,3,21
1577,1578,0.354087,32.774181,201.193,43.66225,J132446.33+433944.3,201.1930736,43.6623327,0.0444,0.0448,-0.0059,13.124,0.025,43.7,9.994,13.073,0.027,40.5,2.172,9.701,0.038,28.8,1.24,7.436,0.125,8.7,0.906,1,0,0.0,0.0,0.0,0.0,-20,180,276,64,0000,5,1100,AAAB,0000,32,32,32,32,18,18,8,18
1578,1579,0.068451,-12.298651,201.204625,43.677222222,J132449.10+434038.0,201.2046194,43.6772408,0.0424,0.043,-0.0083,12.774,0.024,45.0,26.08,12.753,0.025,44.0,5.921,9.731,0.042,26.1,2.588,7.908,0.142,7.7,1.08,1,0,0.0,0.0,0.0,0.0,99,203,133,198,0000,5,111n,AAAB,0000,32,32,32,32,19,19,5,19
1579,1580,0.199513,-107.357128,201.21029167,8.3743333333,J132450.45+082227.5,201.2102382,8.3743168,0.0534,0.0534,-0.0121,13.63,0.025,43.1,1.447,13.572,0.033,32.6,0.9734,12.041,0.336,3.2,0.8634,9.017,,-0.2,0.9831,2,1,0.0,0.0,0.0,0.0,-81,79,-14,86,0000,0,nnnn,AABU,0111,25,25,25,25,1,14,0,14
1580,1581,1.886911,90.835632,201.21720833,8.3979444444,J132452.25+082352.5,201.2177381,8.3979368,0.086,0.0595,-0.0305,13.494,0.042,26.0,4.255,13.421,0.05,21.8,1.194,9.923,0.072,15.0,0.9702,7.526,0.228,4.8,1.005,2,1,0.0,0.0,0.0,0.0,-195,49,112,49,0000,5,nnnn,AAAB,0111,29,29,29,29,14,15,0,15
1581,1582,0.193161,-53.653604,201.7775,3.54675,J132706.58+033248.4,201.7774567,3.5467818,0.0402,0.0409,-0.0045,13.063,0.024,45.8,2.567,12.636,0.026,42.1,1.059,8.948,0.029,38.1,0.8716,6.753,0.066,16.5,1.002,1,0,0.0,0.0,0.0,0.0,-35,231,-105,106,0000,0,1100,AAAA,1111,29,29,29,29,19,19,16,19
1582,1583,0.863139,-175.112457,201.79154167,3.5371388889,J132709.96+033212.8,201.7915212,3.5369,0.0495,0.0675,0.025,13.187,0.031,34.9,2.624,12.733,0.034,32.0,1.04,10.357,0.092,11.9,0.8939,8.508,0.527,2.1,0.8615,2,1,0.0,0.0,0.0,0.0,98,55,170,58,0000,4,nnnn,AAAC,1111,30,30,30,30,14,19,0,19
1583,1584,1.771328,-13.381046,201.973375,58.445722222,J132753.55+582646.3,201.9731574,58.4462009,0.0484,0.0591,-0.0208,13.397,0.031,35.0,2.3,13.223,0.034,31.9,1.04,9.708,0.05,21.5,0.9395,7.525,0.179,6.1,1.092,2,1,0.0,0.0,0.0,0.0,391,47,-666,51,0000,4,nnnn,AAAB,0000,39,39,39,39,19,19,3,19
1584,1585,0.208739,-104.685977,201.993625,58.45175,J132758.44+582706.2,201.9935178,58.4517353,0.0411,0.0414,-0.0096,12.531,0.024,46.2,8.785,12.488,0.023,46.4,2.283,10.944,0.092,11.8,1.011,8.782,,0.9,1.0,1,0,0.0,0.0,0.0,0.0,88,50,67,55,0000,5,011n,AAAU,0000,40,40,40,40,12,19,0,20
