index,cntr_01,dist_x,pang_x,ra_01,dec_01,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m
0,1,0.187865,171.663574,0.70445833333,0.75133333333,J000249.07+004504.6,0.7044659,0.7512817,0.0562,0.0472,0.0173,12.849,0.027,39.8,3.309,12.67,0.029,37.2,1.195,10.278,0.083,13.2,0.9269,7.196,0.138,7.9,1.013,2,1,0.0,0.0,0.0,0.0,418,82,0,81,0000,5,nnnn,AAAB,1100,24,24,24,24,13,13,6,13
1,2,0.601511,89.832353,0.706,0.75186111111,J000249.48+004506.7,0.7061671,0.7518616,0.0797,0.0674,0.028,13.563,0.036,30.4,3.309,13.437,0.043,25.2,1.195,12.182,0.456,2.4,0.9269,8.641,,0.1,1.013,2,1,0.0,0.0,0.0,0.0,,,,,0000,3,nnnn,AACU,1100,24,24,24,24,0,13,0,13
2,3,1.867669,71.227404,0.738375,0.13069444444,J000257.32+000751.1,0.7388662,0.1308614,0.0805,0.0657,0.0417,13.551,0.042,25.9,1.694,13.369,0.046,23.6,0.9471,10.398,0.114,9.5,0.8424,8.181,,0.6,1.044,2,1,0.0,0.0,0.0,0.0,-105,107,-34,98,0000,4,nnnn,AABU,1100,24,24,24,24,9,12,0,12
3,4,0.304753,-5.558672,0.744125,0.14194444444,J000258.58+000831.3,0.7441168,0.1420287,0.0503,0.0514,-0.0029,13.477,0.029,38.1,1.259,12.971,0.029,37.8,0.743,9.237,0.04,27.3,0.9651,6.84,0.089,12.2,0.9088,2,0,0.001,0.0,0.0,0.0,-30,78,112,80,0000,0,0000,AAAA,1100,25,25,25,25,13,13,12,13
4,5,0.272915,-79.144243,0.84891666667,1.0964722222,J000323.72+010547.3,0.8488422,1.0964865,0.0609,0.0627,-0.0136,14.26,0.029,37.9,1.005,13.632,0.038,28.6,0.8928,10.372,0.079,13.7,1.012,8.342,0.332,3.3,1.01,2,1,0.0,0.0,0.0,0.0,171,198,90,188,0000,0,nnnn,AAAB,0000,22,22,22,22,10,11,1,11
6,7,0.126338,-104.054248,1.1074166667,-9.9817777778,J000425.77-095854.4,1.1073821,-9.9817863,0.0516,0.0512,-0.0071,13.476,0.026,42.0,3.41,13.168,0.033,33.3,1.151,10.141,0.067,16.1,0.9863,7.723,0.173,6.3,1.06,1,0,0.0,0.0,0.0,0.0,-82,71,-205,74,0000,1,000n,AAAB,2400,27,27,16,16,13,13,1,13
7,8,0.101446,42.058037,1.1110833333,-9.9762222222,J000426.66-095834.3,1.1111025,-9.9762013,0.0525,0.0522,-0.0047,13.508,0.026,41.9,2.884,13.254,0.033,33.1,0.9714,10.76,0.106,10.3,1.061,8.54,0.385,2.8,1.002,1,0,0.0,0.0,0.0,0.0,81,119,-175,123,0000,4,000n,AAAC,2400,28,28,16,16,9,13,0,13
8,9,0.080378,-63.00883,1.133,-1.2365833333,J000431.91-011411.6,1.1329801,-1.2365732,0.0537,0.0535,-0.0108,13.953,0.028,39.3,1.419,13.374,0.032,34.2,0.9476,10.152,0.062,17.6,0.8226,7.745,0.156,7.0,1.019,1,0,0.0,0.0,0.0,0.0,-61,169,-276,159,0000,0,011n,AAAB,1100,25,25,25,25,15,15,2,15
9,10,1.322747,-124.777343,1.1385416667,-1.2262222222,J000433.17-011335.1,1.1382398,-1.2264318,0.0908,0.0929,-0.0228,15.082,0.038,28.9,1.1,14.764,0.069,15.8,0.9072,11.161,0.168,6.5,0.8181,9.004,0.487,2.2,1.081,1,0,0.0,0.0,0.0,0.0,-67,304,-181,314,0000,0,00nn,AABC,1100,25,25,19,25,1,14,0,14
10,11,0.282326,-142.398746,1.588875,-10.070166667,J000621.31-100412.8,1.5888264,-10.0702288,0.0639,0.0636,-0.0062,14.124,0.028,38.5,1.629,13.789,0.048,22.5,0.8543,10.356,0.088,12.4,0.9628,7.943,0.249,4.4,0.8575,1,0,0.0,0.0,0.0,0.0,107,225,28,200,0000,0,001n,AAAB,2400,23,23,20,20,11,12,1,12
11,12,0.144928,-128.570951,1.5989166667,-10.0625,J000623.73-100345.0,1.5988847,-10.0625251,0.07,0.0696,-0.0098,14.268,0.03,36.6,1.565,14.134,0.054,20.0,0.8235,11.223,0.177,6.1,0.8801,8.243,,1.3,0.7773,1,0,0.0,0.0,0.0,0.0,370,187,-314,184,0000,0,01nn,AABU,2400,23,23,19,19,1,12,0,12
12,13,0.12416,-29.783024,1.7523333333,0.90291666667,J000700.55+005410.6,1.7523162,0.9029466,0.0438,0.0419,0.0067,12.64,0.023,46.6,8.849,12.539,0.024,44.3,2.293,11.461,0.196,5.5,1.166,8.95,,0.1,0.8724,1,0,0.0,0.0,0.0,0.0,-49,69,-158,70,0000,5,11nn,AABU,0000,22,22,22,22,1,12,0,12
13,14,0.184611,-45.637198,1.7674166667,0.90694444444,J000704.17+005425.1,1.76738,0.9069803,0.0576,0.0567,-0.011,14.004,0.027,41.0,1.971,13.786,0.038,28.3,0.9514,11.292,0.182,6.0,0.9854,8.322,0.351,3.1,1.081,1,0,0.0,0.0,0.0,0.0,31,142,-134,147,0000,0,00nn,AABB,0000,23,23,23,23,1,12,0,12
14,15,0.031881,-12.873992,2.4519583333,13.972166667,J000948.46+135819.8,2.4519563,13.9721753,0.0597,0.0665,-0.0123,13.978,0.029,37.2,1.148,13.761,0.042,26.0,0.9812,11.9,,1.2,0.9637,8.701,,-1.0,1.049,2,1,0.0,0.0,0.0,0.0,-112,112,-247,120,0000,0,nnnn,AAUU,1111,24,24,23,23,0,12,0,12
15,16,0.290489,-72.191921,2.4520416667,13.969972222,J000948.47+135811.9,2.4519625,13.9699969,0.0696,0.0841,-0.0199,14.45,0.033,32.5,1.148,14.19,0.053,20.6,0.9812,10.533,0.103,10.6,0.9637,8.223,0.355,3.1,1.049,2,1,0.0,0.0,0.0,0.0,,,,,0000,0,nnnn,AAAB,1111,23,23,24,24,11,12,0,12
16,17,0.265076,-92.975538,2.4863333333,0.16622222222,J000956.70+000958.3,2.4862598,0.1662184,0.053,0.0515,-0.0064,13.513,0.026,42.0,2.252,13.376,0.032,34.0,0.9372,12.557,0.508,2.1,0.9326,8.922,,0.1,1.021,1,0,0.0,0.0,0.0,0.0,4,98,138,100,0000,4,00nn,AACU,0000,24,24,24,24,0,13,1,13
17,18,0.285372,-161.133378,2.4948333333,0.16061111111,J000958.75+000937.9,2.4948077,0.1605361,0.055,0.054,-0.0081,13.772,0.027,40.8,5.083,13.522,0.034,32.2,1.404,10.56,0.094,11.5,1.059,8.557,0.398,2.7,0.9975,1,0,0.0,0.0,0.0,0.0,264,143,-150,142,0000,5,000n,AAAC,0000,24,24,24,24,11,13,0,13
18,19,,,2.545375,-0.24172222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,0.830765,-88.587403,2.5465,-0.24188888889,J001011.10-001430.7,2.5462693,-0.2418832,0.0384,0.0373,-0.0031,12.829,0.023,46.5,4.548,12.369,0.025,42.7,1.556,8.108,0.022,49.3,1.402,5.344,0.044,24.7,1.143,1,0,0.0,0.0,0.0,0.0,68,56,-210,57,0000,5,0000,AAAA,0000,24,24,24,24,11,11,13,13
20,21,0.143353,-92.110801,2.709875,-1.0493333333,J001050.36-010257.6,2.7098352,-1.0493348,0.0506,0.0495,-0.0102,13.733,0.027,39.9,1.268,12.894,0.029,37.2,1.019,9.674,0.049,22.3,0.9693,7.005,0.105,10.3,1.04,1,0,0.0,0.0,0.0,0.0,80,179,-145,188,0000,0,1100,AAAA,0000,23,23,23,23,13,13,10,13
21,22,,,2.71125,-1.04975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,0.229214,-139.217672,2.8037083333,-10.022888889,J001112.87-100122.5,2.8036661,-10.0229371,0.0816,0.081,-0.0192,14.706,0.032,33.6,1.318,14.647,0.07,15.6,1.029,12.444,,0.2,0.9739,8.99,,-0.6,0.8254,1,0,0.0,0.0,0.0,0.0,-81,221,-144,226,0000,0,00nn,AAUU,1200,22,22,17,22,0,11,0,11
24,25,0.334197,-30.847305,4.39525,15.09025,J001734.84+150525.1,4.3952007,15.0903297,0.0707,0.0716,-0.0129,14.626,0.03,35.9,2.174,14.458,0.052,20.7,1.048,12.052,0.359,3.0,0.9712,8.417,,0.7,0.8579,1,0,0.0,0.0,0.0,0.0,-257,185,-109,191,0000,0,00nn,AACU,1122,27,27,27,27,1,8,0,9
26,27,0.444112,119.113651,4.6757916667,-10.270527778,J001842.21-101614.1,4.6759012,-10.2705878,0.0561,0.054,-0.0069,13.754,0.027,40.7,2.229,13.529,0.035,30.7,1.006,10.926,0.116,9.4,0.9116,8.807,0.477,2.3,0.9348,1,0,0.0,0.0,0.0,0.0,37,126,-104,124,0000,0,000n,AABC,1100,25,25,25,25,7,13,0,13
27,28,0.176154,102.764432,4.678375,-10.273638889,J001842.82-101625.1,4.6784235,-10.2736497,0.0564,0.0554,-0.0074,13.837,0.027,39.8,1.643,13.628,0.036,30.0,0.9671,10.637,0.094,11.6,0.9239,8.348,,1.7,0.964,1,0,0.0,0.0,0.0,0.0,94,150,-200,146,0000,0,111n,AAAU,1100,25,25,25,25,11,13,0,13
28,29,0.659519,39.16849,4.7810416667,1.1614166667,J001907.47+010941.6,4.7811574,1.1615587,0.0606,0.0619,-0.0058,14.143,0.028,38.9,3.139,13.923,0.041,26.6,1.058,11.663,,1.8,0.8119,8.777,,0.5,0.972,1,0,0.0,0.002,0.0,0.0,-166,139,3,147,0000,1,00nn,AAUU,1000,23,23,23,23,0,12,0,12
29,30,,,4.7817083333,1.1629444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31,1.826621,41.101659,5.5362083333,0.36680555556,J002208.77+002201.8,5.5365419,0.3671879,0.042,0.041,0.0061,12.102,0.023,46.5,22.08,12.068,0.024,46.1,5.212,11.285,0.2,5.4,1.039,8.624,,0.4,0.9022,1,0,0.0,0.0,0.0,0.0,200,55,93,56,0000,5,00nn,AABU,0000,25,25,25,25,1,13,0,13
31,32,1.28896,-135.767537,5.5367916667,0.36744444444,J002208.77+002201.8,5.5365419,0.3671879,0.042,0.041,0.0061,12.102,0.023,46.5,22.08,12.068,0.024,46.1,5.212,11.285,0.2,5.4,1.039,8.624,,0.4,0.9022,1,0,0.0,0.0,0.0,0.0,200,55,93,56,0000,5,00nn,AABU,0000,25,25,25,25,1,13,0,13
32,33,1.442135,72.252315,5.9159583333,-0.81536111111,J002339.92-004854.8,5.9163399,-0.815239,0.0773,0.0609,0.0273,13.551,0.037,29.3,3.213,13.455,0.044,24.9,1.041,11.202,0.229,4.7,0.8542,7.952,,1.3,0.9705,2,1,0.0,0.0,0.0,0.0,-620,102,-88,97,0000,5,nnnn,AABU,1111,24,24,24,24,1,13,0,13
33,34,0.608352,-56.645782,5.9295416667,-0.81511111111,J002343.05-004854.0,5.9294005,-0.8150182,0.0671,0.055,-0.0311,13.149,0.032,33.9,2.101,13.063,0.035,31.4,0.974,11.271,0.211,5.1,0.9602,8.326,,-0.2,0.8845,2,1,0.0,0.0,0.0,0.0,85,87,21,82,0000,4,nnnn,AABU,1111,24,24,24,24,0,13,0,13
34,35,0.062219,-144.924646,5.9378333333,-1.0083055556,J002345.07-010029.9,5.9378234,-1.0083197,0.0494,0.0485,-0.004,13.675,0.026,41.7,1.599,13.261,0.031,34.5,0.936,9.324,0.038,28.7,1.02,6.446,0.063,17.4,0.948,1,0,0.0,0.0,0.0,0.0,57,83,-213,84,0000,0,0011,AAAA,1111,25,25,25,25,12,12,12,12
35,36,0.154441,-62.04434,5.951875,-1.0011111111,J002348.44-010003.9,5.9518371,-1.001091,0.0528,0.051,0.0048,13.423,0.025,43.6,2.925,13.362,0.034,31.9,0.9257,11.922,,1.2,0.7968,8.491,,1.2,0.9894,1,0,0.0,0.0,0.0,0.0,188,88,-115,88,0000,0,00nn,AAUU,1111,27,27,27,27,0,13,0,13
36,37,0.937504,31.611395,6.5755,0.16822222222,J002618.15+001006.3,6.5756365,0.168444,0.0754,0.0746,-0.0074,14.552,0.031,35.4,1.894,14.398,0.058,18.7,0.9114,11.558,0.236,4.6,1.118,8.275,,1.9,0.8956,1,0,0.0,0.0,0.0,0.0,613,222,-166,222,0000,0,11nn,AABU,0000,21,21,21,21,0,10,0,10
38,39,0.158602,-176.833881,6.6505833333,-0.41861111111,J002636.13-002507.1,6.6505809,-0.4186551,0.0838,0.0826,-0.0241,14.91,0.034,32.3,1.005,14.612,0.065,16.7,0.8125,11.183,0.166,6.5,0.9657,8.849,0.514,2.1,1.085,1,0,0.0,0.0,0.0,0.0,-256,280,-290,278,0000,0,00nn,AABC,0000,21,21,20,21,2,11,0,11
39,40,0.251333,-129.76428,6.6540416667,-0.41519444444,J002636.95-002454.8,6.653988,-0.4152391,0.0527,0.0507,-0.0111,13.816,0.026,42.3,1.738,13.459,0.032,34.1,1.063,9.994,0.061,17.7,0.9617,8.325,0.329,3.3,1.075,1,0,0.0,0.0,0.0,0.0,-151,187,68,169,0000,0,000n,AAAB,0000,21,21,21,21,11,11,1,11
40,41,0.097709,44.240805,10.66475,-9.5149444444,J004239.54-093053.7,10.6647692,-9.514925,0.0461,0.0453,0.0078,12.907,0.024,45.0,3.538,12.828,0.027,40.4,1.936,11.262,0.16,6.8,0.9803,8.759,0.48,2.3,0.8947,1,0,0.0,0.0,0.0,0.0,31,77,77,78,0000,1,00nn,AABC,1111,24,24,23,23,0,13,0,13
41,42,0.695529,104.096499,10.686,-9.5174444444,J004244.68-093102.9,10.68619,-9.5174915,0.0618,0.0551,-0.0283,13.15,0.031,35.1,1.978,13.15,0.037,29.3,1.11,11.416,0.211,5.2,1.0,8.537,,-0.7,0.9143,2,1,0.0,0.0,0.0,0.0,-55,76,214,78,0000,0,nnnn,AABU,1111,25,25,24,25,1,15,0,15
42,43,2.499741,46.091259,12.808083333,0.34644444444,J005114.06+002048.9,12.8085836,0.346926,0.0628,0.0857,0.0184,13.381,0.043,25.2,1.786,12.869,0.042,25.8,1.142,8.91,0.042,25.7,0.9185,5.871,0.083,13.0,0.8678,2,1,0.0,0.0,0.0,0.013,,,,,0000,0,nnnn,AAAA,2355,23,23,16,16,5,5,7,7
43,44,0.937663,-106.505688,12.808833333,0.347,J005114.06+002048.9,12.8085836,0.346926,0.0628,0.0857,0.0184,13.381,0.043,25.2,1.786,12.869,0.042,25.8,1.142,8.91,0.042,25.7,0.9185,5.871,0.083,13.0,0.8678,2,1,0.0,0.0,0.0,0.013,,,,,0000,0,nnnn,AAAA,2355,23,23,16,16,5,5,7,7
44,45,0.060446,130.429943,12.855125,16.061138889,J005125.23+160340.0,12.8551383,16.061128,0.0444,0.0415,0.0037,12.595,0.023,48.1,19.98,12.501,0.027,40.9,4.088,10.201,0.065,16.6,1.23,8.66,0.405,2.7,0.9738,1,0,0.0,0.0,0.0,0.0,0,57,0,52,0000,5,110n,AAAC,0000,25,25,25,25,14,14,1,14
45,46,0.13457,-53.735429,12.865291667,16.078638889,J005127.66+160443.1,12.8652603,16.078661,0.0481,0.0416,0.006,12.745,0.023,47.2,2.412,12.697,0.027,40.4,1.028,11.355,0.195,5.6,0.8899,8.189,,1.2,0.9123,2,1,0.0,0.0,0.0,0.0,-82,53,95,50,0000,4,nnnn,AABU,0000,25,25,25,25,3,14,0,14
46,47,0.130246,-176.778713,12.922208333,1.0242222222,J005141.32+010127.0,12.9222063,1.0241861,0.0532,0.0531,0.0018,13.324,0.026,42.1,15.15,13.214,0.036,29.8,3.139,10.574,0.147,7.4,1.577,7.702,0.318,3.4,0.7209,1,0,0.0,0.0,0.0,0.0,-102,98,41,100,0000,5,00nn,AABB,3444,21,21,11,11,4,4,0,4
47,48,0.036988,-130.619298,12.928625,1.0286388889,J005142.86+010143.0,12.9286172,1.0286322,0.0486,0.0477,0.0057,12.993,0.024,44.4,5.836,12.875,0.031,35.6,1.686,11.891,0.51,2.1,0.6154,8.275,,-2.1,0.5938,1,0,0.0,0.004,0.0,0.0,-64,80,152,82,0000,1,00nn,AACU,3444,22,22,12,12,0,4,0,4
48,49,0.398425,139.961684,13.06175,0.58233333333,J005214.83+003456.0,13.0618212,0.5822486,0.0841,0.1298,0.0518,14.13,0.057,19.1,1.605,13.881,0.078,13.9,0.9157,10.752,0.208,5.2,0.8805,7.592,,0.9,1.051,2,1,0.0,0.0,0.0,0.0,,,,,0000,4,nnnn,AABU,3555,21,21,12,12,4,6,1,5
49,50,1.412948,17.352792,13.062083333,0.58302777778,J005214.92+003500.2,13.0622004,0.5834024,0.0792,0.1092,0.0456,14.063,0.054,20.0,1.605,13.688,0.067,16.2,0.9157,10.008,0.105,10.4,0.8805,7.673,,0.7,1.051,2,1,0.0,0.0,0.0,0.0,6,216,-500,235,0000,4,nnnn,AAAU,3555,21,21,12,12,6,6,1,5
50,51,0.099305,163.227412,14.08075,13.890611111,J005619.38+135326.1,14.0807582,13.8905847,0.0648,0.0651,-0.0125,14.224,0.029,37.3,3.287,14.166,0.043,25.0,1.049,11.28,0.161,6.7,0.9913,8.785,,0.5,1.081,1,0,0.0,0.0,0.0,0.0,-222,116,-288,114,0000,1,00nn,AABU,0000,28,28,28,28,2,17,0,17
51,52,0.52581,-78.654459,14.086625,13.862166667,J005620.75+135143.9,14.0864775,13.8621954,0.0384,0.0369,0.0065,11.492,0.023,47.6,25.08,11.529,0.021,52.0,8.547,9.963,0.054,20.2,1.11,8.302,0.256,4.2,0.8667,1,0,0.0,0.0,0.0,0.0,-34,36,44,35,0000,5,110n,AAAB,0000,29,29,29,29,15,15,1,15
52,53,0.454763,115.832599,14.163125,0.11694444444,J005639.17+000700.8,14.1632387,0.1168894,0.0649,0.0576,-0.0364,12.775,0.033,33.1,2.318,12.791,0.038,28.5,1.276,12.122,0.514,2.1,0.8987,8.364,,0.1,1.039,2,1,0.0,0.0,0.0,0.0,-213,68,4,68,0000,4,nnnn,AACU,3555,23,23,19,19,0,12,0,12
53,54,1.752056,-115.926861,14.18,0.11863888889,J005643.09+000706.3,14.1795623,0.1184261,0.1214,0.1052,0.0726,14.531,0.056,19.4,2.117,14.411,0.076,14.3,0.9687,11.787,,1.1,0.8574,7.551,,1.0,0.922,2,0,0.0,0.0,0.0,0.0,115,215,-574,210,0000,0,00nn,AAUU,3555,26,26,21,22,0,13,0,14
54,55,0.295,44.889081,14.836041667,0.49094444444,J005920.66+002927.6,14.8360995,0.4910025,0.0588,0.0595,0.0226,13.573,0.028,39.4,2.087,13.492,0.037,29.3,0.9397,11.959,0.411,2.6,0.9129,8.41,,0.1,0.9206,2,0,0.0,0.0,0.0,0.0,129,116,47,117,0000,0,01nn,AACU,2222,20,20,20,20,0,10,0,10
55,56,0.162878,11.861426,14.84275,0.48822222222,J005922.26+002917.7,14.8427593,0.4882665,0.0433,0.0404,0.0066,12.344,0.023,47.5,13.88,12.346,0.024,45.6,2.967,11.292,0.2,5.4,0.9856,8.626,,0.6,0.8965,1,0,0.0,0.0,0.0,0.0,130,66,47,64,0000,1,00nn,AABU,2222,20,20,20,20,2,10,0,10
56,57,0.847169,83.321779,15.339916667,0.38483333333,J010121.63+002305.4,15.3401504,0.3848607,0.0517,0.0531,0.0253,13.278,0.028,39.1,1.824,12.977,0.033,32.9,1.077,9.264,0.044,24.4,0.9408,7.445,0.225,4.8,0.9217,2,1,0.0,0.0,0.0,0.0,-258,74,-161,75,0000,4,nnnn,AAAB,2222,21,21,21,21,11,11,1,11
57,58,0.088168,-125.118258,15.352333333,0.38188888889,J010124.55+002254.7,15.3523133,0.3818748,0.0546,0.0552,0.0034,13.759,0.026,42.3,2.179,13.652,0.037,29.4,0.9729,11.966,,1.0,0.9075,8.703,,-1.0,0.8488,1,0,0.0,0.0,0.0,0.0,-171,120,-90,125,0000,0,01nn,AAUU,2222,20,20,20,20,0,10,0,10
58,59,0.307212,133.338113,15.356083333,0.0076666666667,J010125.47+000027.3,15.3561454,0.0076081,0.0483,0.0474,-0.0055,13.583,0.026,42.3,1.713,12.687,0.027,39.8,1.406,9.89,0.068,16.1,0.8039,7.608,0.195,5.6,1.087,1,0,0.0,0.0,0.0,0.0,138,88,-91,327,0000,0,3300,AAAB,2222,20,20,20,20,7,7,3,7
59,60,0.113227,-137.62011,15.365875,0.012583333333,J010127.80+000045.2,15.3658538,0.0125601,0.0554,0.0529,-0.0019,13.683,0.026,42.6,2.859,13.51,0.036,30.5,1.182,11.736,,1.0,0.83,8.475,,0.7,1.051,1,0,0.0,0.0,0.0,0.0,-218,116,40,114,0000,4,11nn,AAUU,2222,22,22,22,22,0,7,0,8
60,61,0.702707,-127.366387,16.590875,14.582166667,J010621.77+143455.3,16.5907147,14.5820482,0.0637,0.0579,0.0359,13.134,0.031,34.8,1.37,13.129,0.038,28.8,0.9827,12.041,0.392,2.8,0.9629,8.099,,0.7,0.8754,2,1,0.0,0.0,0.0,0.0,66,42,87,43,0000,4,nnnn,AACU,1100,35,35,35,35,0,21,0,21
61,62,0.088985,-100.122904,16.598958333,-0.16955555556,J010623.74-001010.4,16.598934,-0.1695599,0.0629,0.0627,-0.0079,14.13,0.028,38.5,1.441,13.986,0.045,24.4,0.9182,11.195,0.153,7.1,0.8857,8.985,,-0.4,0.922,1,0,0.0,0.0,0.0,0.0,108,166,-23,173,0000,0,11nn,AABU,0000,22,22,22,22,2,12,0,12
62,63,0.188705,157.964105,16.599708333,-0.14486111111,J010623.93-000841.6,16.599728,-0.1449097,0.0388,0.0379,0.0065,11.812,0.023,47.8,9.143,11.733,0.023,46.9,2.608,8.818,0.03,35.8,1.172,6.909,0.097,11.2,0.867,1,0,0.0,0.0,0.0,0.0,68,53,-47,627,0000,5,1100,AAAA,0000,19,19,19,19,9,9,7,9
63,64,0.353943,-6.708327,16.607041667,14.571305556,J010625.68+143417.0,16.6070298,14.5714032,0.0407,0.0394,0.0064,12.127,0.023,46.8,24.7,12.188,0.024,45.9,5.942,9.569,0.041,26.6,1.545,7.735,0.167,6.5,1.022,1,0,0.0,0.0,0.0,0.0,0,44,0,43,0000,5,100n,AAAB,1100,34,34,34,34,21,21,5,21
64,65,0.619344,-131.639748,17.123041667,14.441111111,J010829.49+142627.5,17.1229089,14.4409968,0.0521,0.0462,0.0243,12.747,0.025,43.4,4.013,12.709,0.029,37.2,1.197,10.469,0.09,12.0,0.9414,8.65,,-0.1,0.9816,2,1,0.0,0.0,0.0,0.0,114,44,42,43,0000,5,nnnn,AAAU,1100,28,28,28,28,13,17,0,17
65,66,0.097343,127.337797,17.140375,14.4405,J010833.69+142625.7,17.1403972,14.4404836,0.0443,0.0421,-0.0034,12.701,0.022,49.0,2.067,12.695,0.027,40.1,0.9892,11.95,,1.0,0.8584,9.07,,-0.4,0.9682,2,1,0.0,0.0,0.0,0.0,-8,43,-26,43,0000,4,nnnn,AAUU,1100,28,28,28,28,0,17,0,17
66,67,0.18968,-29.110789,17.197083333,0.19866666667,J010847.29+001155.3,17.1970577,0.1987127,0.0548,0.0553,-0.0061,13.758,0.027,40.3,4.999,13.594,0.037,29.5,1.502,9.793,0.058,18.7,1.034,7.153,0.136,8.0,0.8498,1,0,0.0,0.0,0.0,0.0,-21,236,-105,316,0000,1,1100,AAAB,0000,24,24,24,24,12,12,7,12
67,68,0.140751,-148.089715,17.209791667,0.20813888889,J010850.34+001229.1,17.209771,0.2081057,0.0633,0.0638,-0.0089,14.253,0.028,38.7,1.06,14.211,0.047,23.3,0.9385,11.694,,1.7,0.9424,9.136,,-0.1,1.044,1,0,0.0,0.0,0.0,0.0,28,150,78,159,0000,0,00nn,AAUU,0000,25,25,24,25,0,13,0,13
68,69,0.346954,6.020396,17.341666667,14.342305556,J010922.00+142032.6,17.3416771,14.3424014,0.0405,0.0383,0.0127,11.411,0.022,49.6,31.4,11.495,0.023,47.6,9.988,9.978,0.065,16.8,1.446,8.28,0.304,3.6,1.159,2,0,0.0,0.003,0.0,0.0,-84,34,109,33,0000,5,000n,AAAB,1100,28,28,28,28,15,15,0,15
69,70,0.263156,-50.789463,17.370041667,14.363138889,J010928.79+142147.4,17.3699832,14.3631851,0.0401,0.038,0.006,11.966,0.022,50.2,29.58,12.044,0.023,46.3,6.982,10.044,0.058,18.6,1.363,7.655,0.151,7.2,0.9997,1,0,0.0,0.0,0.0,0.0,-36,39,104,38,0000,5,001n,AAAB,1100,27,27,27,27,15,15,4,15
70,71,0.70232,7.667975,17.424291667,-0.74044444444,J010941.83-004424.9,17.4243177,-0.7402511,0.0558,0.0552,0.0048,13.829,0.027,40.2,8.997,13.536,0.034,32.3,4.804,10.431,0.1,10.9,2.896,7.014,0.103,10.6,3.267,2,0,0.0,0.0,0.0,0.0,-171,294,-444,187,0000,1,2121,AAAA,0000,25,25,25,25,9,11,9,11
72,73,0.256066,1.302921,17.495958333,13.970888889,J010959.03+135815.4,17.49596,13.97096,0.0538,0.0524,-0.009,13.561,0.026,41.8,2.18,13.532,0.034,32.3,1.128,12.242,0.367,3.0,0.8949,9.094,0.5,2.2,0.9567,1,0,0.0,0.0,0.0,0.0,81,64,-113,63,0000,0,11nn,AACC,1100,29,29,29,29,0,18,0,18
73,74,0.242005,-6.520396,17.513166667,13.978111111,J011003.15+135841.4,17.5131588,13.9781779,0.0425,0.041,-0.0039,12.023,0.024,45.8,24.53,12.105,0.024,45.7,5.871,11.074,0.123,8.9,0.9914,8.807,0.453,2.4,1.01,1,0,0.0,0.0,0.0,0.002,82,38,5,38,0000,5,11nn,AABC,1100,27,27,27,27,5,17,1,17
74,75,0.281034,74.064377,17.558833333,0.36591666667,J011014.13+002157.3,17.5589084,0.3659381,0.0464,0.0478,-0.0062,13.477,0.026,41.3,4.523,13.198,0.031,35.3,1.27,9.139,0.032,33.5,1.117,5.897,0.047,23.0,0.9193,1,0,0.0,0.0,0.0,0.0,-97,83,-258,86,0000,1,0000,AAAA,0000,22,22,22,22,12,12,12,12
75,76,0.18666,93.858247,17.571416667,0.34488888889,J011017.15+002041.5,17.5714684,0.3448854,0.0429,0.0421,0.0061,12.387,0.024,45.8,14.24,12.37,0.024,44.6,3.051,10.919,0.127,8.5,0.9588,8.514,,0.6,0.9288,1,0,0.0,0.0,0.0,0.0,0,69,0,70,0000,1,110n,AABU,0000,22,22,22,22,5,12,0,12
76,77,1.156142,-143.11411,17.87375,15.564916667,J011129.65+153352.7,17.8735499,15.5646598,0.0595,0.0789,0.0426,13.273,0.04,27.4,2.214,13.037,0.045,24.1,1.061,9.245,0.051,21.4,0.9597,7.134,0.159,6.8,1.004,2,1,0.0,0.0,0.0,0.0,82,41,334,43,0000,4,nnnn,AAAB,1100,31,31,31,31,16,16,5,16
77,78,0.195808,17.984974,17.882041667,15.562666667,J011131.69+153345.7,17.8820591,15.5627184,0.0564,0.0545,-0.0078,13.776,0.026,41.2,2.341,13.657,0.036,30.3,1.026,11.583,0.204,5.3,1.013,8.585,,1.1,1.0,1,0,0.0,0.0,0.0,0.0,79,75,24,76,0000,0,11nn,AABU,1100,31,31,31,31,1,16,0,16
78,79,1.804984,-179.706696,18.011291667,-0.26372222222,J011202.70-001551.2,18.0112891,-0.2642236,0.0716,0.133,-0.0243,13.788,0.063,17.2,2.603,13.72,0.07,15.5,0.9971,12.014,0.458,2.4,0.9784,7.494,,1.6,0.8619,2,1,0.0,0.0,0.0,0.003,157,81,-161,88,0000,4,nnnn,AACU,0000,26,26,26,26,0,13,0,13
